Configuration,Mutation (s),Evaluation (s),Selection (s),Total (s)
1000x1,1.90302129996911e-05,0.2228918561700002,2.172523999556919e-06,0.22291305890699947
500x2,2.677927000041791e-05,0.41869801565199904,2.349681999646691e-06,0.4187271446039991
250x4,5.2874340000698794e-05,0.8712691970319957,3.53549999954339e-06,0.8713256068719959
125x8,0.0001014483119979559,1.8681890866560025,5.01835999693867e-06,1.8682955533279972
